,geometry,crimes_2021,crimes_2022,crimes_2023,crimes_2020,gas_station,bar,liquor_store
300,"POLYGON ((1436872 7458209, 1436872 7457891.518447864, 1436656.1335881571 7457722.13794596, 1436604.929140114 7457709.502465426, 1436553.3845301475 7457772.41037083, 1436543.5222180055 7457765.015345212, 1436436.3108100565 7458209, 1436872 7458209))",0,0,0,0,13489.724319150353,15817.571373010416,16062.179111160804
241,"POLYGON ((1436372 7458709, 1436372 7458475.324389804, 1436315.5730696942 7458709, 1436372 7458709))",0,0,0,0,12907.061938082268,15438.124204303318,15661.050026564088
301,"POLYGON ((1436372 7458709, 1436872 7458709, 1436872 7458209, 1436436.3108100565 7458209, 1436372 7458475.324389804, 1436372 7458709))",0,0,0,0,13034.70464128287,15436.899253814234,15671.953234768667
242,"POLYGON ((1436372 7459209, 1436372 7458709, 1436315.5730696942 7458709, 1436194.8353293322 7459209, 1436372 7459209))",0,0,0,0,12546.979486716224,15148.31700093556,15362.452273450137
302,"POLYGON ((1436372 7458709, 1436372 7459209, 1436872 7459209, 1436872 7458709, 1436372 7458709))",0,0,0,0,12545.373316939857,15017.887108444536,15243.269940226417
360,"POLYGON ((1436872 7458209, 1437276.6297598393 7458209, 1437149.1147471466 7458108.957717623, 1436872 7457891.518447864, 1436872 7458209))",0,0,0,0,13353.656423159724,15564.451797264013,15818.137532288243
481,"POLYGON ((1437872 7458709, 1437913.9612831778 7458709, 1437872 7458676.081678961, 1437872 7458709))",0,0,0,0,12510.587356929655,14628.148718398706,14901.185794332026
361,"POLYGON ((1436872 7458209, 1436872 7458709, 1437372 7458709, 1437372 7458283.823005504, 1437276.6297598393 7458209, 1436872 7458209))",0,0,0,0,12986.03123358464,15195.955655563595,15447.10143901242
421,"POLYGON ((1437372 7458709, 1437872 7458709, 1437872 7458676.081678961, 1437576.3766550866 7458444.167317972, 1437372 7458283.823005504, 1437372 7458709))",0,0,0,0,12744.079903404012,14898.886989522305,15162.687905822419
482,"POLYGON ((1437872 7458709, 1437872 7459209, 1438372 7459209, 1438372 7459068.303502703, 1437989.4760728278 7458768.240802488, 1437913.9612831778 7458709, 1437872 7458709))",0,0,0,0,12143.189161636768,14253.287535443873,14527.4391612838
362,"POLYGON ((1436872 7458709, 1436872 7459209, 1437372 7459209, 1437372 7458709, 1436872 7458709))",0,0,0,0,12490.920019080153,14762.00004460239,15004.231941607777
422,"POLYGON ((1437372 7458709, 1437372 7459209, 1437872 7459209, 1437872 7458709, 1437372 7458709))",0,0,0,0,12350.5500220486,14518.827687926367,14778.250026458336
483,"POLYGON ((1437872 7459209, 1437872 7459709, 1438372 7459709, 1438372 7459209, 1437872 7459209))",0,0,0,0,11714.021420217328,13843.251923699461,14111.51007770359
363,"POLYGON ((1436872 7459209, 1436872 7459709, 1437372 7459709, 1437372 7459209, 1436872 7459209))",0,0,0,0,11992.99279269505,14330.952501257414,14563.49275755045
423,"POLYGON ((1437372 7459209, 1437372 7459709, 1437872 7459709, 1437872 7459209, 1437372 7459209))",0,0,0,0,11881.644910927605,14080.337769675572,14330.562409974606
484,"POLYGON ((1437872 7459709, 1437872 7460209, 1438372 7460209, 1438372 7459709, 1437872 7459709))",0,0,0,0,11240.805032361231,13401.312551368394,13660.273123726016
364,"POLYGON ((1436872 7459709, 1436872 7460209, 1437372 7460209, 1437372 7459709, 1436872 7459709))",0,0,0,0,11495.245509697193,13904.522784682376,14126.70047961964
424,"POLYGON ((1437372 7459709, 1437372 7460209, 1437872 7460209, 1437872 7459709, 1437372 7459709))",0,0,0,0,11415.379351191928,13646.078776872411,13886.445338092775
425,"POLYGON ((1437372 7460209, 1437372 7460709, 1437872 7460709, 1437872 7460209, 1437372 7460209))",0,0,0,0,10952.090470493122,13216.467767942495,13446.252610653271
365,"POLYGON ((1436872 7460209, 1436872 7460709, 1437372 7460709, 1437372 7460209, 1436872 7460209))",0,0,0,0,10997.702602397992,13483.149044129363,13694.232785466556
485,"POLYGON ((1437872 7460209, 1437872 7460709, 1438372 7460709, 1438372 7460209, 1437872 7460209))",0,0,0,0,10770.009179095661,12963.592572119784,13212.547330339168
426,"POLYGON ((1437372 7460709, 1437372 7461209, 1437872 7461209, 1437872 7460709, 1437372 7460709))",0,0,0,0,10459.20393696578,12791.973051000305,13010.382562060242
366,"POLYGON ((1436872 7460709, 1436872 7461209, 1437372 7461209, 1437372 7460709, 1436872 7460709))",0,0,0,0,10500.39312280115,13067.320399479831,13266.512605964255
303,"POLYGON ((1436372 7459209, 1436372 7459709, 1436872 7459709, 1436872 7459209, 1436372 7459209))",0,0,0,0,12049.69646356142,14594.399181824507,14809.646302740373
243,"POLYGON ((1436372 7459709, 1436372 7459209, 1436194.8353293322 7459209, 1436080.7981849257 7459681.251443768, 1436078.3671657415 7459709, 1436372 7459709))",0,0,0,0,12084.208594867421,14780.403754468534,14982.630530360155
244,"POLYGON ((1436372 7460209, 1436372 7459709, 1436078.3671657415 7459709, 1436034.562739236 7460209, 1436372 7460209))",0,0,0,0,11612.693860016601,14401.68874470894,14591.86891573526
304,"POLYGON ((1436372 7459709, 1436372 7460209, 1436872 7460209, 1436872 7459709, 1436372 7459709))",0,0,0,0,11554.392154784375,14175.896506214165,14380.33270664949
245,"POLYGON ((1436372 7460709, 1436372 7460209, 1436034.562739236 7460209, 1436012.35776048 7460462.455877952, 1435938.3624043278 7460709, 1436372 7460709))",0,0,0,0,11121.156855713978,14008.819018729206,14185.984598400102
305,"POLYGON ((1436372 7460209, 1436372 7460709, 1436872 7460709, 1436872 7460209, 1436372 7460209))",0,0,0,0,11059.510444369625,13762.833866299128,13955.72692107417
